,questions,answers
378,В каком английском графстве находится город Ковентри?,Уэст-Мидлендс
379,В каком городе установлен памятник Фаине Раневской?,В Таганроге
380,В какой стране проходили летние олимпийские игры 2000 года?,Австралия (Сидней)
381,Какой Папа Римский был отцом Чезаре Борджиа?,Александр VI
382,В какой стране есть уникальная Долина кувшинов?,Лаос
383,"Кто режиссер и главный герой фильма ""Танцы с волками""?",Кевин Костнер
384,В каком городе находится международный аэропорт «Никола Тесла»?,Белград
385,"Кто автор философского трактата ""О природе вещей""?",Тит Лукреций Кар
386,В какой стране имеют хождение тугрики?,Монголия
387,В какой области находится город Бузулук?,Оренбургская
388,"В каком городе родился Франциск Скорина — великий культурный деятель, белорусский первопечатник и просветитель?",Полоцк
389,Кто написал поэму « Руслана и Людмила » ?,ПУШКИН
390,В какой стране произошло восстание под руководством ремесленника Уота Тайлера?,Англия
391,Что входит в Десять заповедей ?,не укради
392,Кем был Святослав Рихтер?,пианист
393,В какой стране существует Орден Академических пальм?,Франция
394,Кто создал социальную сеть Facebook ?,Марк Цукерберг
395,Кто был первым главным редактором первого издания БСЭ?,О. Ю. Шмидт
396,Какой из городов является столицей Мадагаскара?,Антананариву
397,Какой город является столицей Ботсваны?,Габороне
398,Кто сыграл одну из ролей в фильме «Авиатор»?,К. Бланшетт
399,"Где произрастает растение, из которого приготавливают фиточай «Ройбуш»?",ЮАР
400,Где находится город Фульда?,Германия
401,"Какой философ в «Первой речи против Катилины» упомянул крылатое выражение «О времена, о нравы»?",Цицерон
402,В каком городе находится международный аэропорт Фьюмичино?,Рим
403,"Какую страну представляет авиакомпания ""Aer Lingus""?",Ирландия
404,Какой город является столицей Республики Конго?,Браззавиль
405,Какой художник является автором картины «Воины Апокалипсиса»?,Виктор Васнецов
406,"Кто подбросил яблоко раздора Гере, Афине и Афродите?",Эрида
407,"Где происходит действие сюжета культового романа Дж. Джойса ""Улисс""?",Дублин
408,На каком инструменте играл великий мастер джаза Диззи Гиллеспи?,Труба
409,Как называется самая высокая гора в системе Крымских гор?,Роман-Кош
410,Какая актриса учредила собственный детский благотворительный фонд «Подари жизнь»?,Чулпан Хаматова
411,На каком языке Шарль де Костер написал «Легенду о Тиле Уленшпигеле»?,Французском
412,Какой рок-группе принадлежат альбом под названием «Собачья шерсть» («Hair of the Dog»)?,Nazareth
413,"Кто написал ""Краткую историю времени""?",Стивен Хокинг
414,В каком городе на Женевском озере провел последние годы жизни и был похоронен В.В.Набоков?,Монтрё
415,На какой горе живёт индуистское божество Шива?,Кайлас
416,Сыном какой страны был Кобо Абэ?,Япония
417,Какой химический элемент преобладает в составе каменного угля?,Углерод
418,Кто присудил Афродите яблоко раздора?,Парис
419,Какая африканская страна является родиной предков Барака Обамы?,Кения
420,В какой стране есть город Изюм?,Украина
421,Как иначе называют библейское Пятикнижие Моисея?,Тора
422,Какой композитор написал «Лунную сонату»?,Бетховен
423,Капитаном какой московской футбольной команды был Игорь Нетто?,Спартак
424,Кто написал книгу «Межзвёздный скиталец»?,Джек Лондон
425,Кто считается покровителем Венеции?,Марк
426,В каком виде спорта слабовидящий кореец Им Дон Хьюн стал двукратным олимпийским чемпионом?,Стрельба из лука
427,"Какое звание носил Маркус Вольф, начальник Главного управления разведки «Штази» МГБ ГДР?",Генерал-полковник
428,Какой современный город в Крыму стоит на месте древнего греческого города Пантикапей?,Керчь
429,"Кто написал «Фантастическую симфонию» с посвящением: «Его Величеству Николаю I, императору Всероссийскому»?",Гектор Берлиоз
430,Кто стал победителем чемпионата России по футболу 2013 - 2014?,ЦСКА
431,Какой народ впервые применил клинопись?,Шумеры
432,В какой стране промышлял Голландец Шульц?,США
433,Где расквартирован российский Президентский полк?,В Кремле
434,"Какой ученый открыл три закона, лежащие в основе классической механики?",Ньютон
435,"Кто был отцом Пана, бога лесов, полей и скота?",Гермес
436,Где в человеческом организме находится стекловидное тело?,Глаз
437,Где родился Луи Армстронг?,Новый Орлеан
438,Гражданство какой страны принял в 1982 году танцовщик Рудольф Нуриев после отказа вернуться в СССР в 1961 году?,Австрия
439,В какой стране родился танец хабанера?,Куба
440,На каком музыкальном инструменте профессионально играет Вуди Аллен?,Кларнет
441,"Кто написал древнегреческую трагедию ""Семеро против Фив""?",Эсхил
442,За какой клуб НХЛ выступает Александр Овечкин?,Вашингтон Кэпеталз
443,В каком российском городе в 2012 г. открыли памятник Юрию Деточкину?,Самара
444,В каком виде спорта отличился Боб Бимон?,Прыжки в длину
445,В какой стране находится Суэцкий канал?,Египет
446,"Кто был режиссёром фильма ""Дом, в котором я живу""?",Л. Кулиджанов
447,В какой стране находится регион Пьемонт?,Италия
448,"Кто получил злополучное ""яблоко раздора""?",Афродита
449,Какая крепёжная деталь нуждается в гайке?,Болт
450,Какую реку пересекает в Санкт-Петербурге Дворцовый мост?,Нева
451,Какой язык является официальным на Шри-Ланке?,Сингальский
452,В каком городе родился Иисус Христос?,Вифлеем
453,В какой латиноамериканской стране в 1979 году победила Сандинистская революция?,Никарагуа
454,В какой стране находится город Карачи?,Пакистан
455,В каком созвездии находится звезда Арктур?,Волопас
456,"Кто является автором поэмы ""Песнь о Гайавате""?",Лонгфелло
457,"В каком ирландском замке можно поцеловать Камень Красноречия, чтобы обрести дар убедительности и лести?",Бларни
458,Кто был режиссёром фильмов «Брат» и «Брат 2»?,Балабанов
459,Какой город является официальной столицей Боливии?,Сукре
460,Где находится Озеро Медуз?,Палау
461,"Кто написал ""Историю села Горюхина""?",Пушкин
462,На каком музыкальном инструменте играет Карлос Сантана?,На гитаре
463,В каком городе прошел Чемпионат мира по водным видам спорта в 2011 году?,Шанхай
464,"Где производятся пистолеты марки ""Беретта""?",Италия
465,В каком штате США находится Большое Солёное озеро?,Юта
466,Кто был режиссером телесериала «Два капитана» 1976 года по знаменитому роману В. Каверина?,Евгений Карелов
467,Кто в 1430 году учредил орден Золотого руна?,Филипп Добрый
468,кто поет песню ROAR,Кэти Перри
469,В какой стране проходили зимние Олимпийские игры 2002 года?,США
470,Какая наука изучает историю развития Земли?,Геология
471,Какой страной более 40 лет правил Муаммар Каддафи?,Ливия
472,"Где в человеческом организме находится ""привратник""?",Желудок
473,Где находится старинный жилой квартал и историко-архитектурный заповедник Ичери-шехер со знаменитой Девичьей башней и комплексом Дворца Ширваншахов?,Баку
474,Кто является создателем игры Тетрис?,Алексей Пажитнов
475,Кем был по профессии сказочный Урфин Джюс?,Столяр
476,Какой крымский город построен на месте существовавшего в III-II вв до н. э. Неаполя Скифского?,Симферополь
477,Как называется валюта Острова Святой Елены?,Фунт Святой Елены
478,Руководитель какой социалистической страны был Янош Кадар,Венгрия
479,"Какой город был столицей Королевства Обеих Сицилий, существовавшего в XIX веке?",Неаполь
480,Какой город был столицей Карла Великого,Ахен
481,В какой стране находится храм Изумрудного Будды,Таиланд
482,Какая страна является местом проведения Зимних Олимпийских игр 2018 года?,Корея
483,Как назывался дирижабль Умберто Нобиле на Северный полюс,Италия
484,В каком виде спорта преуспел Марат Сафин?,Теннис
485,Кто является режиссером фильма Дама с собачкой,Иосиф Хейфиц
486,"Кто является лидером-вокалистом британской рок-группы ""Electric Light Orchestra""?",Джефф Линн
487,В каком городе родился советский писатель Валентин Пикуль?,Ленинград
488,Кто впервые высказал идею существование абсолютного нуля температур,Г. Амонтон
489,Какая фирма разработала стандарт VHS,JVC
490,В каком городе находится дворец Сан-Суси?,Потсдам
491,В каком голландском городе находится Домик Петра I?,Заандам
492,Где расположен OPEC (ОПЕК),Вене
493,Где используется водный камень?,Для заточки ножей
494,"Кто является автором композиции ""I Just Called To Say I Love You""?",Стиви Уандер
495,В какой области находится город Измаил?,Одесская
496,В каком городе находится одна из старейших в Европе Амброзианская библиотека?,Милан
497,Какая картина Моне дала название новому направлению в живописи - импрессионизму?,Впечатление
498,Какому британскому королю посвящен Оранжевый орден?,Вильгельм III
499,Кто принимал участие в озвучивании мультфильма «Пластилиновая ворона»?,Леонид Броневой
500,"Какой город является административным центром штата Калифорния, расположенного в США?",Сакраменто
501,Какой из городов является столицей Камеруна?,Яунде
502,Откуда родом известный модный дизайнер Каролина Херрера?,Венесуэлла
503,Кто изобрел теорию множеств?,Георг Кантор
504,К какой династии принадлежал Ричард Львиное сердце?,Плантагенеты
505,Какой город был столицей Оранжевого Свободного Государства?,Блумфонтейн
506,Какой певческий голос у Эми Уайнхаус?,Контральто
507,В какой стране находится памятник природы «Туннель Любви»?,Украина
508,"На каком острове с 1210 года производится вино ""Коммандария"", названное в честь резиденции Командора ордена рыцарей-госпитальеров?",На Кипре
509,"Какой писатель является автором произведений, по которым сняты фильмы «Большая жизнь», «Жестокость», «Испытательный срок» и «Впервые замужем»?",Павел Нилин
510,Какой греческий бог был мужем Афродиты?,Гефест
511,"Чьим режиссерским дебютом стал фильм ""Дуэлянты"", рассказывающий о растянувшемся на 15 лет поединке двух гусарских офицеров?",Ридли Скотта
512,Что стало причиной смерти английского мореплавателя Фрэнсиса Дрейка?,Дизентерия
513,"В каком российском городе вы можете посетить ""Музей Арктики и Антарктики""?",Санкт-Петербург
514,"Кто автор романа ""Грозовой перевал""?",Эмили Бронте
515,В какой стране находится знаменитая пагода Шведагон (98-метровая позолоченная ступа)?,Мьянма
516,Кто считается покровителем Шотландии?,Апостол Андрей
517,"В какой стране принята денежная единица ""лари""?",Грузия
518,"Какая звезда изображена на флаге Аляски кроме тех, которые изображают созвездие Большая Медведица?",Полярная звезда
519,В какой стране находится город Учкудук?,Узбекистан
520,"Какой античный учёный является автором трактата ""Об архитектуре"", где были описаны основные пропорции мужского тела?",Марк Витрувий Поллион
521,Какая фирма производит автомобили марки «Lexus»?,Toyota
522,В каком испанском городе был рожден и похоронен Сальвадор Дали?,Фигерас
523,В какой стране находится город Дарвин?,Австралия
524,Какой англосаксонский король приказал бросить конунга Рагнара Лодброка в яму со змеями?,Элла II Нортумбрийский
525,Кем была Има Сумак?,Певицей
526,В каком треугольнике есть гипотенуза?,в прямоугольном
527,Президентом какой страны был Даниэль Ортега с 1985 по 1990 годы?,Никарагуа
528,"К какой форме приближается классический футбольный мяч, накачанный воздухом до абсолютного давления в одну атмосферу?",Усеченный икосаэдр
529,В каком городе Минской области находится Белорусский автомобильный завод?,Жодино
530,Какой комик сыграл в кино Гринча — похитителя Рождества?,Джим Кэрри
531,"Кто написал картину ""Видение отроку Варфоломею""?",Михаил Нестеров
532,"Кем впоследствии стал студент Дуайт Филли Дэвис, разработчик и один из основателей кубка Дэвиса?",Военным министром
533,В каком городе родился знаменитый аргентинский композитор Астор Пьяццолла?,Мар-дель-Плата
534,В каком городе США находится главный Зал и музей славы рок-н-ролла?,Кливленд
535,Фаворитом какой российской императрицы был Алексей Разумовский?,Елизавета Петровна
536,"Какую страну представляет авиакомпания ""Qantas"" (Квонтас)?",Австралия
537,"Кто после круиза по Тихому океану написал повесть «Путешествие на ""Снарке""»?",Джек Лондон
538,"Какая рок-группа создала хит ""Don't Cry""?",Guns N' Roses
539,"Какая опера Вагнера входит в цикл ""Кольцо нибелунга""?",Валькирия
540,"На каком музыкальном инструменте играл Эдвин Мартон, выступавший на «Евровидении-2008»?",На скрипке Страдивари
541,"Кто написал портрет полковника лейб-гвардии Гусарского полка Евграфа Давыдова, долгое время считавшийся изображением Дениса Давыдова?",Орест Кипренский
542,Кто автор картины «Смерть Ивана Грозного»?,Константин Маковский
543,В какой стране находится самая высокая статуя Будды в мире?,Китай
544,В каком романе Жюля Верна присутствует персонаж Жак Паганель?,"""Дети капитана Гранта"""
545,Кто спроектировал Михайловский дворец?,Карл Росси
546,"Кто был основателем и первым редактором журнала ""Отечественные записки""?",Павел Свиньин
547,Какой стадион Буэнос-Айреса является основным местом проведения домашних игр сборной Аргентины по футболу?,«Монументаль»
548,Какая гора является высшей точкой Польши?,Рысы
549,"Кто, согласно древнегреческим легендам, был отцом Зевса?",Кронос
550,"Кто является режиссером и комедии «Дети Дон Кихота», и военной драмы «Служили два товарища», и приключенческого фильма «Два капитана»?",Евгений Карелов
551,Какое воинское звание предшествует майору?,Капитан
552,В какой стране в 1973 году генерал Аугусто Пиночет осуществил военный переворот?,Чили
553,За какой клуб выступал бразильский футболист Гарринча?,«Ботафого»
554,В каком городе родился актёр Алексей Баталов?,Владимир
555,В каком городе Аргентины родился Эрнесто Че Гевара?,Росарио
556,"Какая историческая область Франции является родиной сыров Камамбер, Пон-л’Эвек, Нёшатель, Ливаро?",Нормандия
557,Как называется основная денежная единица Венгрии?,Форинт
558,Какой титул имел Дон Кихот?,Идальго
559,В какой стране находится самый широкий водопад в Европе Вентас румба?,Латвия
560,"Кто является автором оперы «Танкред», написанной по одноимённой драме Вольтера?",Джоаккино Россини
561,"Какой символ присутствует и на флаге, и на гербе Аргентины?",Солнце
562,Какому государству принадлежит остров Занзибар?,Танзания
563,Какой город был столицей толкиеновского Гондора?,Минас Тирит
564,"Кто из детских писателей написал книгу ""От двух до пяти""?",Корней Чуковский
565,Какой известный певец исполнил песню «Prisencolinensinainciusol» в стиле речитатива?,Адриано Челентано
566,"Куда нужно отправиться, чтобы побывать на Краю Света?",На остров Шикотан
567,"Чем, по сути, является немецкий алкогольный напиток ""Егермейстер""?",Ликер
568,Какой легендарной рок-группе принадлежит культовый альбом «Sabotage» (1975)?,Black Sabbath
569,Как называется областной центр Закарпатской области Украины?,Ужгород
570,"Кто был режиссёром художественного фильма-коллажа ""Маяковский смеётся или Клоп-75""?",Сергей Юткевич
571,В каком городе родился В. В. Набоков?,Санкт-Петербург
572,"Чем, с точки зрения ботаники, является плод миндаля?",Сухой костянкой
573,Кто автор и первый исполнитель шлягера «My Way»?,Пол Анка
574,Как называется столица Канады?,Оттава
575,"В какой стране вручается кинопремия ""Сезар""?",Франция
576,"В каком городе расположена знаменитая скульптура ""Родина-мать""?",Волгоград
577,"Кого в Древней Руси называли словом ""вуй""?",дядю
578,В каком веке жил знаменитый сказочник Ганс Христиан Андерсен?,в XIX веке
579,Как называется стадион футбольного клуба «Бавария» (Мюнхен)?,Альянс Арена
580,"В каком океане ""Титаник"" встретился с айсбергом?",Атлантический
581,Столицей какой республики СССР был город Фрунзе?,Киргизия
582,"Как зовут итальянского ""Карабаса Барабаса""?",Манджафоко
583,Какой город является столицей Удмуртии?,Ижевск
584,"Какой писатель является автором знаменитого романа ""451 градус по Фаренгейту""?",Р.Брэдбери
585,В какой стране правил царь Давид Строитель?,Грузия
586,"Кто является основателем знаменитой соцсети ""Вконтакте""?",Павел Дуров
587,"Какой немецкий писатель является автором новеллы «Смерть в Венеции», повествующей о любви писателя Густава фон Ашенбаха к мальчику Тадзио?",Томас Манн
588,"В каком командном виде спорта разыгрывается приз ""Кубок Гагарина""?",Хоккей с шайбой
589,В какой стране расположен священный город Мачу Пикчу?,Перу
590,В каком городе родилась Цеткин?,Кёнигсхайн-Видерау
591,Столицей какой автономной области Испании является Барселона?,Каталония
592,В какой стране находится пирамида Солнца?,Мексика
593,На каком острове находился Александрийский маяк?,Фарос
594,Какую книгу написал Стивен Хокинг?,"""Краткая история времени"""
595,Кто является автором музыки к фильму «Три плюс два»?,андрей волконский
596,Какой объект в Барнауле назван в честь Германа Степановича Титова?,аэропорт
597,Кто написал историю о Шерлоке Холмсе?,артур конан дойл
598,О каком виде спорта повествует фэнтези-фильм с Кевином Костнером «Поле его мечты»?,бейсбол
599,Какая валюта используется в Лихтенштейне?,швейцарский франк
600,Какой город является столицей Объединенных Арабских Эмиратов?,абу-даби
601,"Как сейчас называется город, который под именем Ново-Архангельск являлся столицей Русской Америки?",ситка
602,В каком французском городе родился мастер импрессионизма Пьер-Огюст Ренуар?,лимож
603,В каком городе находится штаб-квартира Международного комитета Красного Креста?,женева
604,В какой части света расположен Израиль?,азия
605,"Какой документ, подписанный 7 февраля 1992 года, положил начало Европейскому Союзу?",маастрихтский договор
606,Какой город является столицей Словакии?,братислава
607,На какой реке расположен Мюнхен?,изар
608,"Кто написал ""Одесские рассказы""?",бабель
609,"Какой композитор написал музыку к кинофильмам «Семнадцать мгновений весны» и «Ирония судьбы, или С лёгким паром!»?",таривердиев
610,При каком российском правителе был основан Новодевичий монастырь в Москве?,василий III
611,"В каком столичном городе расположен Сворачивающийся мост, звенья которого складываются в гармошку",лондон
612,Кто является основателем корейской компании Hyundai,Чон Чжу-ён
613,"Кто является автором классического китайского романа ""Путешествие на Запад""?",У Чэнъэнь
614,В каком океане расположен остров Исландия?,атлантический
615,В каком городе находится областной музей изобразительных искусств имени М. А. Врубеля?,омск
616,Где расположен Центральный военно-морской музей?,питер
617,В каком городе расположен знаменитый парк «Мини-Европа»?,брюссель
618,Какой город является административным центром Пуэрто-Рико?,Сан-Хуан
619,В какой номинации удостоился премии «Оскар» фильм «Пираты Карибского моря: Сундук мертвеца»?,Лучшие визуальные эффекты
620,В какой стране говорят на языке пушту?,афганистан
621,Какой город является столицей Шотландии?,эдинбург
622,Где находится библейский зоопарк?,иерусалим
623,В каком шведском городе расположен Turning Torso — самый высокий в Скандинавии небоскреб?,мальмё
624,В каком клубе НБА 10 лет подряд играл баскетболист сборной России Андрей Кириленко?,"""Юта Джаз"""
625,"Кто написал картину ""Скачет красная конница из октябрьской столицы, на защиту советской границы""?",малевич
626,"Как называется традиционный новогодний обряд деревни Семежево в Белоруссии, который включен в список нематериального культурного наследия ЮНЕСКО",Цари Коледы
627,"На какой горе, согласно Ветхому Завету, умер пророк Моисей?",нево
628,"Кто является автором стихов песни ""Сулико""?",Акакий Церетели
629,"Кто был первым исполнителем ""Восточной песни""?",Валерий Ободзинский
630,Какой город является столицей Португалии?,лиссабон
631,"Как звали поэта, воссоздавшего латышский героический эпос ""Лачплесис""?",пумпур
632,Какой город является столицей Новой Зеландии?,Веллингтон
633,В каком государстве функции банка исполняет Институт религиозных дел?,ватикан
634,На какой позиции играл знаменитый футболист Дэвид Бекхэм?,Полузащитник
635,"Как называется море, отделённое от Тихого океана цепью Алеутских островов?",берингово
636,"Какой город, которому Жюль Верн посвятил рассказ «Идеальный город», стал местом его смерти и захоронения?",Амьен
637,Какой город является административным центром испанского автономного сообщества Андалусии?,севилья
638,Как называется столица Эстонии?,таллин
639,Какой город является столицей Хорватии?,загреб
640,Какой британский нововолновый дуэт исполнял популярный хит «Video Killed the Radio Star» («Видео погубило звезду радио»)?,The Buggles
641,"Какая поп-группа получила мировую известность, исполнив песню ""You’re a Woman""?",Bad Boys Blue
642,"Кто автор романа ""Дубровский""?",пушкин
643,"Президентом какой страны был Нельсон Мандела, признанный лучшим Санта-Клаусом 1996 года?",юар
644,Как называется денежная единица Боснии и Герцеговины?,Конвертируемая марка
645,В каком итальянском городе родился Никколо Паганини?,генуя
646,Кто открыл закон всемирного тяготения?,ньютон
647,В каких единицах измеряется атмосферное давление?,паскаль
648,В какой стране ежегодно проводится Международный Канский видеофестиваль?,россия
649,Где протекает река Потомак?,США
650,Какой город является столицей Бутана?,Тхимпху
651,"В какой стране находится картина Рафаэля ""Сикстинская мадонна""?",в Германии
652,Как звали маму Гарри Поттера?,Лили Эванс
653,В каком виде спорта четыре раза становился олимпийским чемпионом Виктор Кровопусков?,фехтование
654,Какая река образована слиянием рек Мараньон и Укаяли?,Амазонка
655,Какая страна - родина гуляша?,Венгрия
656,В каком городе СССР производили автомобили КрАЗ?,Кременчуг
657,"Кто снял фильм ""Первый учитель""?",Андрей Кончаловский
658,Как звали актрису Мордюкову?,Нонна
659,Кем работал в зоопарке Крокодил Гена?,Крокодилом
660,Какое слово используют итальянцы для обозначения всех видов макаронных изделий?,Паста
661,"Кто сыграл главного героя в фильме ""Форрест Гамп""?",Хэнкс
662,Какой металл обязательно присутствует в любой бронзе?,Медь
663,Какая река имеет притоки Уругвай и Парагвай?,Парана
664,Где родилась топ-модель Наоми Кэмпбелл?,Великобритания
665,В каком стиле построен храм Христа Спасителя?,Русско-византийском
666,Кто из античных героев победил кроммионскую свинью и критского Минотавра?,Тесей
667,Какой металл является основой любой амальгамы?,Ртуть
668,В каком городе находится дом-музей Анны Франк?,Амстердам
669,В какой битве погиб адмирал Горацио Нельсон?,Трафальгарское сражение
670,В каком жанре литературы вручается премия Дэвида Геммела?,Героическое фэнтези
671,Какой специалист занимается изучением неопознанных летающих объектов?,Уфолог
672,"Как называется кривая, по которой Земля движется вокруг Солнца?",Эллипс
673,Какая девичья фамилия была у Петуньи Дурсли?,Эванс
674,В каком селе Эдуард Успенский прописал кота Матроскина?,Простоквашино
675,Какая страна – родина саксофона?,Бельгия
676,На какой город американцы в 1945 году сбросили первую атомную бомбу?,Хиросима
677,На какой улице проживал Шерлок Холмс?,Бейкер-Стрит
678,Какой американский город сделал звезду из баскетболиста Майкла Джордана?,Чикаго
679,"Как называлась деревня, в которой дядя Федор прикупил дом?",Простоквашино
680,Какая техника письма использовалась при написании Моны Лизы Да Винчи?,Сфумато
681,"Какой инвентарь используют на Олимпийских играх спортсмены, соревнующиеся в хаф-пайпе?",Сноуборд
682,В каком городе Тамерлан основал столицу своего государства?,Самарканд
683,Кем по профессии был отец Леонардо да Винчи?,Нотариусом
684,Где расположена штаб-квартира Совета Европы?,Страсбург
685,В каком городе находится штаб-квартира авто-завода БМВ?,Мюнхен
686,"Какая советская республика была полностью освобождена в ходе операции ""Багратион""?",Белоруссия
687,Вариант какой письменности сейчас используется в Монголии как основной?,кириллица
688,"Какое животное, как считается, дало название денежной единице Хорватии?",куница
689,Кого или что рисуют художники-анималисты?,животных
690,В каком городе находится Статуя Свободы?,Нью Йорк
691,Какой титул носит супруг королевы Великобритании Елизаветы II?,Герцог
692,Какой город стоял на месте столицы Мексики?,Теночтитлан
693,Сколько музыкантов в квинтете?,5
694,"Чего боятся люди, страдающие трискайдекафобией?",13
695,Какое вещество составляет основу гипса?,Сульфат кальция
696,В какой стране хранится международный эталон килограмма?,Франция
697,К какой науке относятся законы Йеркса-Додсона?,Психология
698,Из какой страны была победительница первого конкурса Мисс мира 1951,Швеция
699,Какой минерал входит в состав жемчуга?,Арагонит
700,Как называлась одна из каравелл Колумба?,Пинта
701,Какая река протекает у подножья Эйфелевой башни?,Сена
702,Какой областной центр знаменит дымковской игрушкой?,киров
703,Какая горная система самая высокая на Земле?,гималаи
704,Кто на работе пользуется теодолитом?,геодезист
705,В каком городе впервые была поставлена опера Джузеппе Верди «Сила судьбы»,В Санкт-Петербурге
706,Какой король более 900 лет назад построил первую башню в лондонском Тауэре?,Вильгельм I Завоеватель
707,Какой титул носит глава арабского государства Оман,султан
708,Какой музыкальный инструмент прославил Ванессу Мэй?,скрипка
709,Из какой страны родом танец летка-енка?,финляндия
710,На каком плоту Тур Хейердал переплыл Тихий океан?,кон-тики
711,"Как называется американская поп-группа, более всего известная по саундтреку к телесериалу «Друзья»?",The Rembrandts
712,"В каком городе был подписан договор, которым завершилась советско-польская война (1919–1921)?",рига
713,Как звали жену итальянского кинорежиссёра Федерико Феллини?,Джульетта
714,Как звали знаменитого капитана Врунгеля?,Христофор Бонифатьевич
715,В какой стране родился и вырос Че Гевара?,Аргентина
716,Как звали жену Одиссея?,Пенелопа
717,В каком регионе России находится один из полюсов холода Северного полушария?,Якутия
718,В какой стране основная денежная единица называется БОЛИВАР?,Венесуэла
719,В какой стране возникла рэп-музыка?,США
720,Как в Латвии называют Западную Двину?,Даугава
